,T,Chosen,Candidates,From,Delay,Data,size,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
52s,31,25,31,25,43,31,0.603242,0.6,25,0.84027,0.6,,,,,,,,,
53s,31,25,31,25,43,37,25,0.602658,0.6,31,0.938997,0.6,,,,,,,,
54s,31,25,31,25,43,37,55,,,,,,,,,,,,,
55s,31,25,31,25,43,37,55,61,25,1.07556,0.6,31,1.1864,0.6,25,0.664849,0.6,31,0.819807,0.6
56s,31,25,31,25,43,37,55,61,25,0.538418,0.6,31,0.741723,0.6,,,,,,
57s,31,25,31,25,43,37,55,61,25,0.638036,0.6,,,,,,,,,
58s,31,25,31,25,43,37,55,61,31,1.09745,0.6,25,0.91201,0.6,,,,,,
59s,31,25,31,25,43,37,55,61,31,1.00982,0.6,25,0.566096,0.6,31,0.702269,0.6,,,
60s,43,37,31,25,43,37,55,61,37,0.473439,0.6,43,0.744266,0.6,,,,,,
61s,55,61,31,25,43,37,55,61,55,0.616523,0.6,61,0.915092,0.6,,,,,,
62s,55,61,31,25,43,37,55,61,55,0.489971,0.6,61,0.582061,0.6,,,,,,
63s,37,61,31,25,43,37,55,61,61,0.688553,0.6,,,,,,,,,
64s,37,61,31,25,43,37,55,61,37,1.01698,0.6,37,0.550958,0.6,61,0.697752,0.6,,,
65s,43,61,31,25,43,37,55,61,43,0.365101,0.6,61,0.576713,0.6,,,,,,
66s,25,61,31,25,43,37,55,61,25,0.607063,0.6,61,0.731934,0.6,,,,,,
67s,55,61,31,25,43,37,55,61,55,0.367046,0.6,61,0.923564,0.6,,,,,,
68s,43,61,31,25,43,37,55,61,43,0.431767,0.6,61,0.65339,0.6,,,,,,
69s,25,61,31,25,43,37,55,61,61,0.680862,0.6,25,0.899017,0.6,,,,,,
70s,31,61,31,25,43,37,55,61,61,0.546536,0.6,31,0.594037,0.6,,,,,,
71s,37,55,31,25,43,37,55,61,55,0.362838,0.6,37,0.67793,0.6,,,,,,
72s,25,43,31,25,43,37,55,61,43,0.673582,0.6,25,0.889563,0.6,,,,,,
73s,31,55,31,25,43,37,55,61,55,0.456339,0.6,31,0.766609,0.6,,,,,,
74s,43,37,31,25,43,37,55,61,43,0.42566,0.6,37,0.833936,0.6,,,,,,
75s,25,55,31,25,43,37,55,61,55,0.368106,0.6,25,0.8145,0.6,,,,,,
76s,31,43,31,25,43,37,55,61,43,0.405606,0.6,31,0.867041,0.6,,,,,,
77s,37,55,31,25,43,37,55,61,55,0.42993,0.6,37,0.554195,0.6,,,,,,
78s,25,43,31,25,43,37,55,61,43,0.510945,0.6,25,0.831895,0.6,,,,,,
79s,31,55,31,25,43,37,55,61,55,0.34285,0.6,31,0.6266,0.6,,,,,,
80s,37,55,31,25,43,37,55,61,55,0.631013,0.6,37,0.729993,0.6,,,,,,
81s,25,43,31,25,43,37,55,61,43,0.552651,0.6,25,0.675033,0.6,,,,,,
82s,31,55,31,25,43,37,55,61,55,0.303774,0.6,31,0.967316,0.6,,,,,,
83s,43,37,31,25,43,37,55,61,43,0.540593,0.6,37,0.546584,0.6,,,,,,
