[ 11.00   0.01 -10.00, 
  21.00   0.01 -10.00, 
  12.00   0.01  -9.50, 
  22.00   0.01  -9.50, 
  13.02   0.01  -9.00, 
  22.98   0.01  -9.00, 
  14.08   0.01  -8.50, 
  23.93   0.01  -8.50, 
  15.19   0.01  -8.00, 
  24.84   0.01  -8.00, 
  16.40   0.01  -7.50, 
  25.68   0.01  -7.50, 
  17.78   0.01  -7.00, 
  26.45   0.01  -7.00, 
  19.52   0.01  -6.50, 
  27.14   0.01  -6.50, 
  23.57   0.01  -6.00, 
  27.73   0.01  -6.00, 
  23.57   0.01  -5.50, 
  28.22   0.01  -5.50, 
  23.57   0.01  -5.00, 
  28.59   0.01  -5.00, 
  23.57   0.01  -4.50, 
  28.85   0.01  -4.50, 
  23.57   0.01  -4.00, 
  28.98   0.01  -4.00, 
  23.57   0.01  -3.50, 
  28.99   0.01  -3.50, 
  23.57   0.01  -3.00, 
  28.87   0.01  -3.00, 
  23.57   0.01  -2.50, 
  28.63   0.01  -2.50, 
  23.57   0.01  -2.00, 
  28.27   0.01  -2.00, 
  23.57   0.01  -1.50, 
  27.80   0.01  -1.50, 
  23.57   0.01  -1.00, 
  27.22   0.01  -1.00, 
  23.57   0.01  -0.50, 
  26.55   0.01  -0.50, 
  23.57   0.01   0.00, 
  25.79   0.01   0.00, 
  23.57   0.01   0.50, 
  24.95   0.01   0.50, 
  23.57   0.01   1.00, 
  24.05   0.01   1.00, 
  23.57   0.01   1.50, 
  23.11   0.01   1.50, 
  23.57   0.01   2.00, 
  22.13   0.01   2.00, 
  23.57   0.01   2.50, 
  21.13   0.01   2.50, 
  23.57   0.01   3.00, 
  20.13   0.01   3.00, 
  23.57   0.01   3.50, 
  19.15   0.01   3.50, 
  23.57   0.01   4.00, 
  18.19   0.01   4.00, 
  23.57   0.01   4.50, 
  17.28   0.01   4.50, 
  23.57   0.01   5.00, 
  16.43   0.01   5.00, 
  23.57   0.01   5.50, 
  15.64   0.01   5.50, 
  23.57   0.01   6.00, 
  14.95   0.01   6.00, 
  23.57   0.01   6.50, 
  14.34   0.01   6.50, 
  23.57   0.01   7.00, 
  13.84   0.01   7.00, 
  23.57   0.01   7.50, 
  13.45   0.01   7.50, 
  23.57   0.01   8.00, 
  13.18   0.01   8.00, 
  23.57   0.01   8.50, 
  13.03   0.01   8.50, 
  23.57   0.01   9.00, 
  13.01   0.01   9.00, 
  23.57   0.01   9.50, 
  13.11   0.01   9.50, 
  23.57   0.01  10.00, 
  13.33   0.01  10.00, 
  23.57   0.01  10.50, 
  13.67   0.01  10.50, 
  23.57   0.01  11.00, 
  14.13   0.01  11.00, 
  23.57   0.01  11.50, 
  14.69   0.01  11.50, 
  23.57   0.01  12.00, 
  15.36   0.01  12.00, 
  23.57   0.01  12.50, 
  16.11   0.01  12.50, 
  23.57   0.01  13.00, 
  16.93   0.01  13.00, 
  23.57   0.01  13.50, 
  17.82   0.01  13.50, 
  23.57   0.01  14.00, 
  18.76   0.01  14.00, 
  23.57   0.01  14.50, 
  19.74   0.01  14.50, 
  23.57   0.01  15.00, 
  20.73   0.01  15.00, 
  23.57   0.01  15.50, 
  21.73   0.01  15.50, 
  23.57   0.01  16.00, 
  22.72   0.01  16.00, 
  23.57   0.01  16.50, 
  23.68   0.01  16.50, 
  23.57   0.01  17.00, 
  24.60   0.01  17.00, 
  23.57   0.01  17.50, 
  25.46   0.01  17.50, 
  23.57   0.01  18.00, 
  26.26   0.01  18.00, 
  23.57   0.01  18.50, 
  26.97   0.01  18.50, 
  23.57   0.01  19.00, 
  27.58   0.01  19.00, 
  23.57   0.01  19.50, 
  28.10   0.01  19.50, 
  23.57   0.01  20.00, 
  28.50   0.01  20.00, 
  23.57   0.01  20.50, 
  28.79   0.01  20.50, 
  23.57   0.01  21.00, 
  28.96   0.01  21.00, 
  23.57   0.01  21.50, 
  29.00   0.01  21.50, 
  23.57   0.01  22.00, 
  28.91   0.01  22.00, 
  23.57   0.01  22.50, 
  28.71   0.01  22.50, 
  23.57   0.01  23.00, 
  28.38   0.01  23.00, 
  23.57   0.01  23.50, 
  27.94   0.01  23.50, 
  23.57   0.01  24.00, 
  27.39   0.01  24.00, 
  23.57   0.01  24.50, 
  26.74   0.01  24.50, 
  23.57   0.01  25.00, 
  26.00   0.01  25.00, 
  23.57   0.01  25.50, 
