[  0.00   0.01  10.00, 
   0.00   0.01 -10.00, 
   1.01   0.01  10.69, 
   1.01   0.01  -9.31, 
   2.10   0.01  11.43, 
   2.10   0.01  -8.57, 
   3.24   0.01  12.20, 
   3.24   0.01  -7.80, 
   4.46   0.01  13.03, 
   4.46   0.01  -6.97, 
   5.76   0.01  13.92, 
   5.76   0.01  -6.08, 
   7.30   0.01  14.57, 
   7.30   0.01  -5.43, 
   8.72   0.01  15.53, 
   8.72   0.01  -4.47, 
  10.18   0.01  16.52, 
  10.18   0.01  -3.48, 
  11.68   0.01  17.54, 
  11.68   0.01  -2.46, 
  13.22   0.01  18.59, 
  13.22   0.01  -1.41, 
  14.84   0.01  19.64, 
  14.84   0.01  -0.36, 
  16.55   0.01  20.63, 
  16.55   0.01   0.63, 
  18.25   0.01  21.62, 
  18.25   0.01   1.62, 
  19.97   0.01  22.61, 
  19.97   0.01   2.61, 
  21.67   0.01  23.60, 
  21.67   0.01   3.60, 
  23.36   0.01  24.58, 
  23.36   0.01   4.58, 
  25.09   0.01  25.58, 
  25.09   0.01   5.58, 
  26.81   0.01  26.58, 
  26.81   0.01   6.58, 
  28.50   0.01  27.56, 
  28.50   0.01   7.56, 
  30.21   0.01  28.55, 
  30.21   0.01   8.55, 
  31.93   0.01  29.55, 
  31.93   0.01   9.55, 
  33.62   0.01  30.53, 
  33.62   0.01  10.53, 
  35.32   0.01  31.52, 
  35.32   0.01  11.52, 
  37.01   0.01  32.50, 
  37.01   0.01  12.50, 
  38.83   0.01  33.34, 
  38.83   0.01  13.34, 
  40.63   0.01  34.15, 
  40.63   0.01  14.15, 
  42.41   0.01  34.95, 
  42.41   0.01  14.95, 
  44.19   0.01  35.75, 
  44.19   0.01  15.75, 
  45.97   0.01  36.55, 
  45.97   0.01  16.55, 
  47.78   0.01  37.36, 
  47.78   0.01  17.36, 
  49.58   0.01  38.17, 
  49.58   0.01  18.17, 
  51.36   0.01  38.97, 
  51.36   0.01  18.97, 
  53.17   0.01  39.78, 
  53.17   0.01  19.78, 
  54.99   0.01  40.60, 
  54.99   0.01  20.60, 
  56.80   0.01  41.41, 
  56.80   0.01  21.41, 
  58.59   0.01  42.22, 
  58.59   0.01  22.22, 
  60.37   0.01  43.02, 
  60.37   0.01  23.02, 
  62.16   0.01  43.82, 
  62.16   0.01  23.82, 
  64.02   0.01  44.49, 
  64.02   0.01  24.49, 
  65.86   0.01  45.15, 
  65.86   0.01  25.15, 
  67.75   0.01  45.72, 
  67.75   0.01  25.72, 
  69.70   0.01  46.11, 
  69.70   0.01  26.11, 
  71.65   0.01  46.49, 
  71.65   0.01  26.49, 
  73.60   0.01  46.87, 
  73.60   0.01  26.87, 
  75.53   0.01  47.25, 
  75.53   0.01  27.25, 
  77.49   0.01  47.64, 
  77.49   0.01  27.64, 
  79.42   0.01  48.02, 
  79.42   0.01  28.02, 
  81.38   0.01  48.41, 
  81.38   0.01  28.41, 
  83.32   0.01  48.79, 
  83.32   0.01  28.79, 
  85.24   0.01  49.17, 
  85.24   0.01  29.17, 
  87.18   0.01  49.48, 
  87.18   0.01  29.48, 
  89.14   0.01  49.69, 
  89.14   0.01  29.69, 
  91.10   0.01  49.90, 
  91.10   0.01  29.90, 
  93.06   0.01  50.11, 
  93.06   0.01  30.11, 
  95.04   0.01  50.32, 
  95.04   0.01  30.32, 
  96.98   0.01  50.43, 
  96.98   0.01  30.43, 
  98.98   0.01  50.52, 
  98.98   0.01  30.52, 
 100.93   0.01  50.61, 
 100.93   0.01  30.61, 
 102.88   0.01  50.70, 
 102.88   0.01  30.70, 
 104.86   0.01  50.76, 
 104.86   0.01  30.76, 
 106.85   0.01  50.64, 
 106.85   0.01  30.64, 
 108.82   0.01  50.52, 
 108.82   0.01  30.52, 
 110.77   0.01  50.40, 
 110.77   0.01  30.40, 
 112.76   0.01  50.28, 
 112.76   0.01  30.28, 
 114.75   0.01  50.15, 
 114.75   0.01  30.15, 
 116.68   0.01  49.84, 
 116.68   0.01  29.84, 
 118.65   0.01  49.53, 
 118.65   0.01  29.53, 
 120.61   0.01  49.22, 
 120.61   0.01  29.22, 
 122.56   0.01  48.92, 
 122.56   0.01  28.92, 
 124.53   0.01  48.62, 
 124.53   0.01  28.62, 
 126.50   0.01  48.34, 
 126.50   0.01  28.34, 
 128.43   0.01  48.06, 
 128.43   0.01  28.06, 
 130.39   0.01  47.77, 
 130.39   0.01  27.77, 
 132.37   0.01  47.49, 
 132.37   0.01  27.49, 
 134.33   0.01  47.21, 
 134.33   0.01  27.21, 
 136.26   0.01  46.93, 
 136.26   0.01  26.93, 
 138.09   0.01  46.21, 
 138.09   0.01  26.21, 
 139.94   0.01  45.47, 
 139.94   0.01  25.47, 
 141.78   0.01  44.74, 
 141.78   0.01  24.74, 
 143.61   0.01  44.01, 
 143.61   0.01  24.01, 
 145.49   0.01  43.37, 
 145.49   0.01  23.37, 
 147.42   0.01  42.98, 
 147.42   0.01  22.98, 
 149.38   0.01  42.59, 
 149.38   0.01  22.59, 
 151.33   0.01  42.20, 
 151.33   0.01  22.20, 
 153.27   0.01  41.82, 
 153.27   0.01  21.82, 
 155.19   0.01  41.43, 
 155.19   0.01  21.43, 
 157.11   0.01  41.05, 
 157.11   0.01  21.05, 
 159.07   0.01  40.66, 
 159.07   0.01  20.66, 
 161.02   0.01  40.27, 
 161.02   0.01  20.27, 
 162.98   0.01  39.88, 
 162.98   0.01  19.88, 
 164.90   0.01  39.50, 
 164.90   0.01  19.50, 
 166.83   0.01  39.11, 
 166.83   0.01  19.11, 
 168.76   0.01  38.72, 
 168.76   0.01  18.72, 
 170.68   0.01  38.34, 
 170.68   0.01  18.34, 
 172.59   0.01  37.96, 
 172.59   0.01  17.96, 
 174.52   0.01  37.57, 
 174.52   0.01  17.57, 
 176.46   0.01  37.19, 
 176.46   0.01  17.19, 
 178.43   0.01  36.87, 
 178.43   0.01  16.87, 
 180.38   0.01  36.60, 
 180.38   0.01  16.60, 
 182.35   0.01  36.32, 
 182.35   0.01  16.32, 
 184.31   0.01  36.06, 
 184.31   0.01  16.06, 
 186.30   0.01  35.86, 
 186.30   0.01  15.86, 
 188.24   0.01  35.67, 
 188.24   0.01  15.67, 
 190.20   0.01  35.48, 
 190.20   0.01  15.48, 
 192.14   0.01  35.29, 
 192.14   0.01  15.29, 
 194.13   0.01  35.10, 
 194.13   0.01  15.10, 
 196.09   0.01  34.91, 
 196.09   0.01  14.91, 
 198.06   0.01  34.71, 
 198.06   0.01  14.71, 
 200.00   0.01  34.52, 
 200.00   0.01  14.52, 
 201.96   0.01  34.33, 
 201.96   0.01  14.33, 
 203.93   0.01  34.14, 
 203.93   0.01  14.14, 
 205.90   0.01  33.95, 
 205.90   0.01  13.95, 
 207.88   0.01  33.77, 
 207.88   0.01  13.77, 
 209.83   0.01  33.83, 
 209.83   0.01  13.83, 
 211.78   0.01  33.89, 
 211.78   0.01  13.89, 
 213.73   0.01  33.95, 
 213.73   0.01  13.96, 
 215.71   0.01  34.02, 
 215.71   0.01  14.02, 
 217.71   0.01  34.08, 
 217.71   0.01  14.08, 
 219.67   0.01  34.14, 
 219.67   0.01  14.14, 
 221.66   0.01  34.21, 
 221.66   0.01  14.21, 
 223.63   0.01  34.27, 
 223.63   0.01  14.27, 
 225.62   0.01  34.33, 
 225.62   0.01  14.33, 
 227.60   0.01  34.39, 
 227.60   0.01  14.39, 
 229.55   0.01  34.45, 
 229.55   0.01  14.45, 
 231.53   0.01  34.51, 
 231.53   0.01  14.51, 
 233.49   0.01  34.56, 
 233.49   0.01  14.57, 
 235.47   0.01  34.62, 
 235.47   0.01  14.62, 
 237.41   0.01  34.68, 
 237.41   0.01  14.68, 
 239.37   0.01  34.74, 
 239.37   0.01  14.74, 
 241.32   0.01  34.80, 
 241.32   0.01  14.80, 
 243.28   0.01  34.86, 
 243.28   0.01  14.86, 
 245.27   0.01  34.92, 
 245.27   0.01  14.92, 
 247.26   0.01  34.98, 
 247.26   0.01  14.98, 
 249.23   0.01  35.04, 
 249.23   0.01  15.04, 
 251.23   0.01  35.10, 
 251.23   0.01  15.10, 
 253.20   0.01  35.16, 
 253.20   0.01  15.16, 
 255.18   0.01  35.23, 
 255.18   0.01  15.23, 
 257.15   0.01  35.29, 
 257.15   0.01  15.29, 
 259.13   0.01  35.38, 
 259.13   0.01  15.38, 
 261.11   0.01  35.51, 
 261.11   0.01  15.51, 
 263.10   0.01  35.64, 
 263.10   0.01  15.64, 
 265.05   0.01  35.78, 
 265.05   0.01  15.78, 
 267.03   0.01  35.93, 
 267.03   0.01  15.93, 
 269.00   0.01  36.07, 
 269.00   0.01  16.07, 
 270.99   0.01  36.22, 
 270.99   0.01  16.22, 
 272.93   0.01  36.37, 
 272.93   0.01  16.37, 
 274.90   0.01  36.52, 
 274.90   0.01  16.51, 
 276.86   0.01  36.66, 
 276.86   0.01  16.66, 
 278.81   0.01  36.81, 
 278.81   0.01  16.81, 
 280.79   0.01  36.95, 
 280.79   0.01  16.95, 
 282.74   0.01  37.06, 
 282.74   0.01  17.06, 
 284.73   0.01  37.18, 
 284.73   0.01  17.18, 
 286.71   0.01  37.29, 
 286.71   0.01  17.29, 
 288.71   0.01  37.41, 
 288.71   0.01  17.41, 
 290.66   0.01  37.52, 
 290.66   0.01  17.52, 
 292.62   0.01  37.64, 
 292.62   0.01  17.64, 
 294.61   0.01  37.75, 
 294.61   0.01  17.75, 
 296.60   0.01  37.87, 
 296.60   0.01  17.87, 
 298.59   0.01  37.99, 
 298.59   0.01  17.99, 
 300.58   0.01  38.11, 
 300.58   0.01  18.11, 
 302.54   0.01  38.24, 
 302.54   0.01  18.24, 
 304.51   0.01  38.38, 
 304.51   0.01  18.38, 
 306.47   0.01  38.51, 
 306.47   0.01  18.51, 
 308.46   0.01  38.64, 
 308.46   0.01  18.64, 
 310.41   0.01  38.78, 
 310.41   0.01  18.78, 
 312.36   0.01  38.91, 
 312.36   0.01  18.91, 
 314.33   0.01  39.04, 
 314.33   0.01  19.04, 
 316.32   0.01  39.18, 
 316.32   0.01  19.18, 
 318.28   0.01  39.31, 
 318.28   0.01  19.31, 
 320.24   0.01  39.44, 
 320.24   0.01  19.44, 
 322.19   0.01  39.57, 
 322.19   0.01  19.57, 
 324.15   0.01  39.71, 
 324.15   0.01  19.71, 
 326.14   0.01  39.84, 
 326.14   0.01  19.84, 
 328.13   0.01  39.97, 
 328.13   0.01  19.97, 
 330.08   0.01  40.11, 
 330.08   0.01  20.11, 
 332.04   0.01  40.24, 
 332.04   0.01  20.24, 
 334.01   0.01  40.37, 
 334.01   0.01  20.37, 
 335.99   0.01  40.50, 
 335.99   0.01  20.50, 
 337.96   0.01  40.64, 
 337.96   0.01  20.64, 
 339.92   0.01  40.77, 
 339.92   0.01  20.77, 
 341.91   0.01  40.90, 
 341.91   0.01  20.90, 
 343.86   0.01  41.04, 
 343.86   0.01  21.04, 
 345.84   0.01  41.17, 
 345.84   0.01  21.17, 
 347.80   0.01  41.30, 
 347.80   0.01  21.30, 
 349.76   0.01  41.44, 
 349.76   0.01  21.44, 
 351.75   0.01  41.57, 
 351.75   0.01  21.57, 
 353.70   0.01  41.70, 
 353.70   0.01  21.70, 
 355.68   0.01  41.84, 
 355.68   0.01  21.84, 
 357.65   0.01  41.97, 
 357.65   0.01  21.97, 
 359.62   0.01  42.10, 
 359.62   0.01  22.10, 
 361.59   0.01  42.24, 
 361.59   0.01  22.24, 
 363.58   0.01  42.37, 
 363.58   0.01  22.37, 
 365.55   0.01  42.51, 
 365.55   0.01  22.51, 
 367.52   0.01  42.68, 
 367.52   0.01  22.68, 
 369.49   0.01  42.84, 
 369.49   0.01  22.84, 
 371.45   0.01  43.01, 
 371.45   0.01  23.01, 
 373.41   0.01  43.18, 
 373.41   0.01  23.18, 
 375.36   0.01  43.34, 
 375.36   0.01  23.34, 
 377.33   0.01  43.51, 
 377.33   0.01  23.51, 
 379.31   0.01  43.68, 
 379.31   0.01  23.68, 
 381.27   0.01  43.84, 
 381.27   0.01  23.84, 
 383.23   0.01  44.01, 
 383.23   0.01  24.01, 
 385.20   0.01  44.17, 
 385.20   0.01  24.17, 
 387.17   0.01  44.34, 
 387.17   0.01  24.34, 
 387.17   0.01  44.34, 
 387.17   0.01  24.34, 
 ]
